Display Name;Salutation;Last Name;First Name;Display Bio;Begin Date;End Date
Finn Carlsen;m;Carlsen;Finn;1920 - 1996;1920;1996
Paul Gadegaard;m;Gadegaard;Paul;1920 - 1996;1920;1996
Keld Helmer-Petersen;m;Helmer-Petersen;Keld;1920 - 2013;1920;2013
Berit Hjelholt;k;Hjelholt;Berit;-1920;1920;0
Peer Bloch Jacobsen Hübschmann;m;Hübschmann;Peer Bloch Jacobsen;1920 - 1993;1920;1993
Grete Jalk;k;Jalk;Grete;1920 - 2006;1920;2006
Edel Bærskog Jensen;k;Jensen;Edel Bærskog;-1920;1920;0
Jens Urup Jensen;m;Jensen;Jens Urup;1920 - 2010;1920;2010
Eyvind Karup Nielsen;m;Karup Nielsen;Eyvind;1920 - 1988;1920;1988
Albert Mertz;m;Mertz;Albert;1920 - 1990;1920;1990
Vera Myhre;k;Myhre;Vera;1920 - 2000;1920;2000
Jørgen Nash;m;Nash;Jørgen;1920 - 2004;1920;2004
Morten Nielsen;m;Nielsen;Morten;1920 - 1998;1920;1998
Palle Nielsen;m;Nielsen;Palle;1920 - 2000;1920;2000
Willy Ørskov;m;Ørskov;Willy;1920 - 1990;1920;1990
Ingálvur av Reyni;m;Reyni;Ingálvur;1920 - 2005;1920;2005
Torben Valeur;m;Valeur;Torben;1920 - 2001;1920;2001
Mogens Balle;m;Balle;Mogens;1921 - 1988;1921;1988
K. (Knud) Bjørn-Knudsen;m;Bjørn-Knudsen;K. (Knud);1921;1921;0
Erik Bro;m;Bro;Erik;1921;1921;0
Poul Ekelund;m;Ekelund;Poul;1921 - 1976;1921;1976
Emil Gregersen;m;Gregersen;Emil;1921 - 1993;1921;1993
Arne L. Hansen;m;Hansen;Arne L.;1921 - 2009;1921;2009
K. Bjørn Knudsen;m;Knudsen;K. Bjørn;1921;1921;0
Maria Olafsdottir;k;Olafsdottir;Maria;1921 - 1979;1921;1979
Ib Spang Olsen;m;Olsen;Ib;1921 - 2012;1921;2012
Henning Persson;m;Persson;Henning;1921;1921;0
Karin Nathorst Westfeldt;k;Westfeldt;Karin Nathorst;1921 - 2013;1921;2013
Karin Nathorst Westfelt;k;Westfelt;Karin Nathorst;1921 - 2013;1921;2013
Thomas Arnel;m;Arnel;Thomas;1922 - 2010;1922;2010
Kristian Begtorp;m;Begtorp;Kristian;1922;1922;0
Freddie Dybris;m;Dybris;Freddie;1922 - 1993;1922;1993
Bent Galatius;m;Galatius;Bent;1922;1922;0
Gugge Hammerskov;k;Hammerskov;Gugge;1922;1922;0
Svend Wiig Hansen;m;Hansen;Svend Wiig;1922 - 1997;1922;1997
Karen Højgaard;k;Højgaard;Karen;-1922;1922;0
Regnar Jensen;m;Jensen;Regnar;1922 - 2009;1922;2009
Svend Johansen;m;Johansen;Svend;1922 - 1998;1922;1998
Eli Ponsaing;m;Ponsaing;Eli;1922 - 2013;1922;2013
Robert Risager;m;Risager;Robert;1922 - 2007;1922;2007
Viggo Rivad;m;Rivad;Viggo;1922;1922;0
Jørgen Roos;m;Roos;Jørgen;1922 - 1998;1922;1998
Erik Christian Sørensen;m;Sørensen;Erik Christian;1922 - 2011;1922;2011
Eigil Wendt;m;Wendt;Eigil;1922 - 1999;1922;1999
Ejgil Wendt;m;Wendt;Ejgil;1922 - 1999;1922;1999
Ib Braase;m;Braase;Ib;1923 - 2009;1923;2009
Tora Garde;k;Garde;Tora;1923;1923;0
Vibeke Lind;k;Lind;Vibeke;1923 - 2013;1923;2013
Agnete Madsen;k;Madsen;Agnete;1923 - 1997;1923;1997
Alfred Madsen;m;Madsen;Alfred;1923 - 1986;1923;1986
Rasmus Nellemann;m;Nellemann;Rasmus;1923 - 2004;1923;2004
Elsa Nielsen;k;Nielsen;Elsa;1923 - 2011;1923;2011
Nikolaj Nielsen;m;Nielsen;Nikolaj;1923;1923;0
Erik Reiff;m;Reiff;Erik;1923 - 2006;1923;2006
Jørgen Rømer;m;Rømer;Jørgen;1923 - 2007;1923;2007
Allan Schmidt;m;Schmidt;Allan;1923 - 1989;1923;1989
Bent Sørensen;m;Sørensen;Bent;1923 - 2008;1923;2008
Kristian Solmer Vedel;m;Vedel;Kristian Solmer;1923 - 2003;1923;2003
Niels Andersen;m;Andersen;Niels;1924;1924;0
Agnete Bjerre;k;Bjerre;Agnete;1924;1924;0
Johannes Carstensen;m;Carstensen;Johannes;1924 - 2010;1924;2010
Kurt Kaj Jensen;m;Jensen;Kurt Kaj;1924;1924;0
Lisette Kampmann;k;Kampmann;Lisette;1924;1924;0
Jørgen Høj Madsen;m;Madsen;Jørgen Høj;1924;1924;0
Niels Østergaard;m;Østergaard;Niels;1924 - 1974;1924;1974
Tage Stentoft;m;Stentoft;Tage;1924 - 2005;1924;2005
Inger Thing;k;Thing;Inger;1924 - 2014;1924;2014
Birger Brøndum;m;Brøndum;Birger;1925 - 2001;1925;2001
Poul Gernes;m;Gernes;Poul;1925 - 1996;1925;1996
Gustav Hansen;m;Hansen;Gustav;1925;1925;0
Maria Lüders Hansen;k;Hansen;Maria Lüders;1925;1925;0
Preben Hansen;m;Hansen;Preben;1925 - 2000;1925;2000
Gunnar Gustav Hossy;m;Hossy;Gunnar Gustav;1925 - 1990;1925;1990
Kirsten Gregers Jensen;k;Jensen;Kirsten Gregers;1925 - 1993;1925;1993
Alfred Klitgaard;m;Klitgaard;Alfred;-1925;1925;0
Rigmor Mydtskov;k;Mydtskov;Rigmor;1925 - 2010;1925;2010
Anna Nørgaard;k;Nørgaard;Anna;1925;1925;0
Flemming Lipholt Petersen;m;Petersen;Flemming Lipholt;1925;1925;0
Kjeld Ejnar Petersen;m;Petersen;Kjeld Ejnar;1925 - 1992;1925;1992
Jens Rosing;m;Rosing;Jens;1925 - 2008;1925;2008
Thor Selzer;m;Selzer;Thor;1925 - 1989;1925;1989
Herman Stilling;m;Stilling;Herman;1925 - 1996;1925;1996
Tommy Storkholm;m;Storkholm;Tommy;-1925;1925;0
Jytte Thompson;k;Thompson;Jytte;1925 - 2001;1925;2001
Tusta Wefring;k;Wefring;Tusta;1925 - 2014;1925;2014
Lars Gunner Åkirke;m;Åkirke;Lars Gunner;1926 - 2004;1926;2004
Grete Balle;k;Balle;Grete;1926;1926;0
Poul Eje Kristensen;m;Eje Kristensen;Poul;1926 - 2011;1926;2011
Erik Enevold;m;Enevold;Erik;1926;1926;0
Jacob Jensen;m;Jensen;Jacob;1926;1926;0
Børge Jørgensen;m;Jørgensen;Børge;1926 - 1998;1926;1998
Flemming Koefoed;m;Koefoed;Flemming;1926 - 2004;1926;2004
Jørn Larsen;m;Larsen;Jørn;1926 - 2004;1926;2004
Erik Mortensen;m;Mortensen;Erik;1926 - 1998;1926;1998
Gert Nielsen;m;Nielsen;Gert;1926 - 1993;1926;1993
Verner Panton;m;Panton;Verner;1926 - 1998;1926;1998
Ejvind Schaldemose;m;Schaldemose;Ejvind;1926;1926;0
Knud Erik Skou;m;Skou;Knud Erik;1926 - 2014;1926;2014
Carsten Svennson;m;Svennson;Carsten;1926 - 2011;1926;2011
Bent Stubbe Teglbjærg;m;Teglbjærg;Bent Stubbe;1926 - 2004;1926;2004
Niels Henrik Thorhauge;m;Thorhauge;Niels Henrik;1926 - 2001;1926;2001
Richard Winther;m;Winther;Richard;1926 - 2007;1926;2007
Sven-Ingvar Andersson;m;Andersson;Sven-Ingvar;1927 - 2007;1927;2007
Hugo Arne Buch;m;Buch;Hugo Arne;1927 - 2008;1927;2008
Torun Bülow-Hübe;k;Bülow-Hübe;Torun;1927 - 2004;1927;2004
Christian Lymann Hansen;m;Hansen;Christian Lymann;1927 - 2004;1927;2004
Jørgen Bruun Hansen;m;Hansen;Jørgen Bruun;1927;1927;0
Kirsten Juul Hansen;k;Hansen;Kirsten Juul;1927;1927;0
Poul Oskar Hansen;m;Hansen;Poul Oskar;1927;1927;0
Niels Helledie;m;Helledie;Niels;1927;1927;0
Knud Hvidberg;m;Hvidberg;Knud;1927 - 1986;1927;1986
Vibeke Klint;k;Klint;Vibeke;-1927;1927;0
Flemming Rosenfalck;m;Rosenfalck;Flemming;1927 - 1972;1927;1972
William Soya;m;Soya;William;1927 - 1994;1927;1994
Helle Thorborg;k;Thorborg;Helle;1927;1927;0
Birte Weggerby;k;Weggerby;Birte;1927 - 1982;1927;1982
Henning Damgård-Sørensen;m;Damgaard-Sørensen;Henning;1928 - 2013;1928;2013
Bent Gabrielsen Pedersen;m;Gabrielsen Pedersen;Bent;1928;1928;0
Anne Marie Harrison;k;Harrison;Anne Marie;1928 - 2005;1928;2005
Kasper Heiberg;m;Heiberg;Kasper;1928 - 1984;1928;1984
Arne Heuser;m;Heuser;Arne;1928;1928;0
Peer Henrik Koefoed-Larsen;m;Koefoed-Larsen;Peer Henrik;1928 - 1989;1928;1989
Arthur Køpcke;m;Køpcke;Arthur;1928 - 1977;1928;1977
Ruth Malinowski;k;Malinowski;Ruth;1928;1928;0
Hans Jørgen Nicolaisen;m;Nicolaisen;Hans Jørgen;1928;1928;0
Torbjørg Ougaard;m;Ougaard;Torbjørg;1928;1928;0
Erik Poulsen;m;Poulsen;Erik;1928 - 1999;1928;1999
Mogens Skjøth;m;Skjøth;Mogens;1928;1928;0
Ejgil Westergaard;m;Westergaard;Ejgil;1928 - 2015;1928;2015
Ingemann Andersen;m;Andersen;Ingemann;1929;1929;0
Bente Bonné;k;Bonné;Bente;1929 - 1996;1929;1996
Per Borring;m;Borring;Per;1929;1929;0
Grethe Carstensen;k;Carstensen;Grethe;1929;1929;0
Per Damm;m;Damm;Per;1929;1929;0
Sven Debois;m;Debois;Sven;1929;1929;0
Jeppe Hagedorn-Olsen;m;Hagedorn-Olsen;Jeppe;1929;1929;0
Grete Holst;k;Holst;Grete;1929;1929;0
Carl Henrik Jensen;m;Jensen;Carl Henrik;1929;1929;0
Erik Jørgensen;m;Jørgensen;Erik;1929;1929;0
Hasse Juul;m;Juul;Hasse;1929;1929;0
Poul Kjærholm;m;Kjærholm;Poul;1929 - 1980;1929;1980
Preben Køie-Nielsen;m;Køie-Nielsen;Preben;1929;1929;0
Otto Lawaetz;m;Lawaetz;Otto;1929;1929;0
Inge Lindemark;k;Lindemark;Inge;1929;1929;0
Jørn Mathiassen;m;Mathiassen;Jørn;1929 - 2003;1929;2003
Torben Harder Rasmussen;m;Rasmussen;Torben Harder;1929;1929;0
Ole Schwalbe;m;Schwalbe;Ole;1929;1929;0
Emanuel Andersen;m;Andersen;Emanuel;1930;1930;0
Ole Gjerløv-Knudsen;m;Gjerløv-Knudsen;Ole;1930 - 2009;1930;2009
Lisbeth Have;k;Have;Lisbeth;1930;1930;0
Knud Holscher;m;Holscher;Knud;1930;1930;0
Jens Christian Jacobsen;m;Jacobsen;Jens Christian;1930;1930;0
Ole W. Jacobsen;m;Jacobsen;Ole W.;1930 - 2011;1930;2011
Erik Lagoni Jakobsen;m;Jakobsen;Erik Lagoni;1930;1930;0
Jeppe Juel Jensen;m;Jensen;Jeppe Juel;1930;1930;0
Bodil Kaalund;k;Kaalund;Bodil;1930;1930;0
Herold G. Kristensen;m;Kristensen;Herold G.;1930;1930;0
Finn Lynggaard;m;Lynggaard;Finn;1930 - 2011;1930;2011
Seppo Mattinen;m;Mattinen;Seppo;1930;1930;0
Jørgen Møller;m;Møller;Jørgen;1930;1930;0
Henning Nielsen;m;Nielsen;Henning;1930;1930;0
Allan Gustav Fritiof Nilsson;m;Nilsson;Allan Gustav Fritiof;1930;1930;0
Hanne Smidth;k;Smidth;Hanne;1930;1930;0
Ole Woldbye;m;Woldbye;Ole;1930 - 2003;1930;2003
Jörgen Brynjolf;m;Brynjolf;Jörgen;1931 - 1993;1931;1993
Inger Lut Debois;k;Debois;Inger Lut;1931;1931;0
Kjeld Heltoft;m;Heltoft;Kjeld;1931;1931;0
Astrid Klenow;k;Klenow;Astrid;1931;1931;0
Erik Otto Larsen;m;Larsen;Erik Otto;1931 - 2008;1931;2008
Kai Lindemann;m;Lindemann;Kai;1931;1931;0
Annalise Møller-Petersen;k;Møller-Petersen;Annalise;1931 - 1975;1931;1975
Anne Rauslet;k;Rauslet;Anne;1931;1931;0
John Rimer;m;Rimer;John;1931;1931;0
Henri Rothschild;m;Rothschild;Henri;1931 - 1992;1931;1992
Aage Schmidt;m;Schmidt;Aage;1931;1931;0
Poul Sørensen;m;Sørensen;Poul;;1931;0
Jan Trägårdh;m;Trägårdh;Jan;1931 - 2006;1931;2006
Erik Vilhelm-Sørensen;m;Vilhelm-Sørensen;Erik;1931;1931;0
Conny Walther;k;Walther;Conny;1931;1931;0
Helle Allpass;k;Allpass;Helle;1932 - 2000;1932;2000
Gerda Thune Andersen;k;Andersen;Gerda Thune;1932;1932;0
Ib Andersen;m;Andersen;Ib;1932 - 2000;1932;2000
Jacob Bang;m;Bang;Jacob;1932;1932;0
Annelise Bjørner;k;Bjørner;Annelise;1932;1932;0
Hans Börjeson;m;Börjeson;Hans;1932;1932;0
Ole Christensen;m;Christensen;Ole;1932;1932;0
Henning Christiansen;m;Christiansen;Henning;1932;1932;0
Niels Guttormsen;m;Guttormsen;Niels;1932;1932;0
Finn Hauptmann;m;Hauptmann;Finn;1932;1932;0
Jørgen Hauptmann;m;Hauptmann;Jørgen;1932;1932;0
Pia Hedegaard;k;Hedegaard;Pia;1932;1932;0
Gerda Hemrich;k;Hemrich;Gerda;1932;1932;0
Jette Kastberg;k;Kastberg;Jette;1932;1932;0
Jan Leth;m;Leth;Jan;1932;1932;0
Kirsten Lockenwitz;k;Lockenwitz;Kirsten;1932;1932;0
Finn Mickelborg;m;Mickelborg;Finn;1932;1932;0
Dorthe Møller;k;Møller;Dorthe;1932;1932;0
Ole Skou Olsen;m;Olsen;Ole Skou;1932;1932;0
Ole V. Rasmussen;m;Rasmussen;Ole V.;1932;1932;0
Preben Schmidt;m;Schmidt;Preben;1932 - 2002;1932;2002
Bertil Sjøberg;m;Sjøberg;Bertil;1932;1932;0
Martin Sloth;m;Sloth;Martin;1932;1932;0
Arne Haugen Sørensen;m;Sørensen;Arne Haugen;1932;1932;0
Jens Jørgen Thorsen;m;Thorsen;Jens Jørgen;1932 - 2000;1932;2000
Rud Thygesen;m;Thygesen;Rud;1932;1932;0
Johnie Toftsø;m;Toftsø;Johnie;1932 - 1998;1932;1998
Lise Warburg;k;Warburg;Lise;1932;1932;0
Nikolaus Wehding;m;Wehding;Nikolaus;1932;1932;0
Aron Berthelsen;m;Berthelsen;Aron;1933;1933;0
Nils Fagerholt;m;Fagerholt;Nils;1933;1933;0
Mette Hector;k;Hector;Mette;1933;1933;0
Dyke Johannsen;m;Johannsen;Dyke;1933;1933;0
Preben Jørgensen;m;Jørgensen;Preben;1933;1933;0
Anne Kjærsgaard;k;Kjærsgaard;Anne;1933 - 1990;1933;1990
Simon Kristoffersen;m;Kristoffersen;Simon;1933;1933;0
Leif Lage;m;Lage;Leif;1933;1933;0
Bodil og Richard Manz;grp;Manz;Bodil og Richard;1943 - & 1933 - 1999;1933;1999
Richard Manz;m;Manz;Richard;1933 - 1999;1933;1999
Loui Michael;m;Michael;Loui;1933;1933;0
Giorgio Musoni;m;Musoni;Giorgio;1933;1933;0
Poul Pedersen;m;Pedersen;Poul;1933;1933;0
Karl Åge Riget;m;Riget;Karl Åge;1933;1933;0
Jens-Flemming Sørensen;m;Sørensen;Jens-Flemming;1933;1933;0
Frank Ivan Thomsen;m;Thomsen;Frank Ivan;1933 - 1995;1933;1995
Jette Thyssen;k;Thyssen;Jette;1933;1933;0
Hanne Vedel;k;Vedel;Hanne;1933;1933;0
Vibeke Alfelt;k;Alfelt;Vibeke;1934 - 1999;1934;1999
Hanne Marie S. Torpe Alkærsig;k;Alkærsig;Hanne Marie S. Torpe;1934;1934;0
Ole Bjørn;m;Bjørn;Ole;1934;1934;0
Gitte Hauptmann;k;Hauptmann;Gitte;1934;1934;0
Ole Heerup;m;Heerup;Ole;1934;1934;0
Erik Heide;m;Heide;Erik;1934;1934;0
Carsten Hoff;m;Hoff;Carsten;1934;1934;0
Mogens Hoff;m;Hoff;Mogens;1934 - 2008;1934;2008
Annette Holdensen;k;Holdensen;Annette;1934;1934;0
Bent Karl Jacobsen;m;Jacobsen;Bent Karl;1934;1934;0
Annette Juel;k;Juel;Annette;1934;1934;0
Mogens Møller;m;Møller;Mogens;1934;1934;0
Billy Sjur Ohlsen;m;Ohlsen;Billy Sjur;1934;1934;0
Birte Ohsten;k;Ohsten;Birte;1934;1934;0
Siv Persson;k;Persson;Siv;1934;1934;0
Margaret Plesner;k;Plesner;Margaret;1934;1934;0
Niels Refsgaard;m;Refsgaard;Niels;1934;1934;0
Inger Rokkjær;k;Rokkjær;Inger;1934 - 2008;1934;2008
Jørgen Haugen Sørensen;m;Sørensen;Jørgen Haugen;1934;1934;0
Bjarne W. Troelstrup;m;Troelstrup;Bjarne W.;1934;1934;0
Lillian Bolvinkel;k;Bolvinkel;Lillian;1935;1935;0
Egon Fischer;m;Fischer;Egon;1935;1935;0
Stig Fogtdal;m;Fogtdal;Stig;1935;1935;0
Freddy Fræk;m;Fraek;Freddy;1935;1935;0
Palle From;m;From;Palle;1935;1935;0
Hein Heinsen;m;Heinsen;Hein;1935;1935;0
William Jessen;m;Jessen;William;1935;1935;0
Søren Kjærsgaard;m;Kjærsgaard;Søren;1935;1935;0
Ole Palsby;m;Palsby;Ole;1935 - 2010;1935;2010
Freddy Poulsen (se Også Fraek, Freddy);m;Poulsen (se Også Fraek, Freddy);Freddy;1935;1935;0
Anne-Lise Rathsach;k;Rathsach;Anne-Lise;1935;1935;0
Fritse Rinds;k;Rinds;Fritse;1935;1935;0
Hanne Schou;k;Schou;Hanne;1935;1935;0
Gunvor Skole;k;Skole;Gunvor;1935;1935;0
Kasper Thomassen;m;Thomassen;Kasper;1935;1935;0
Poul Agger;m;Agger;Poul;1936;1936;0
Jørgen Stenberg Basse;m;Basse;Jørgen Stenberg;1936;1936;0
Axel Erlandsen;m;Erlandsen;Axel;1936;1936;0
Bjarne Esbensen;m;Esbensen;Bjarne;1936;1936;0
Ole Find;m;Find;Ole;1936;1936;0
Hans Christian Gørgens;m;Gørgens;Hans Christian;1936 - 1987;1936;1987
Knud Hansen;m;Hansen;Knud;1936;1936;0
Niels Jørgen Haugesen;m;Haugesen;Niels Jørgen;1936;1936;0
Zacharias Heinesen;m;Heinesen;Zacharias;1936;1936;0
Nanna Hertoft;k;Hertoft;Nanna;1936;1936;0
Poul Horsdal;m;Horsdal;Poul;1936;1936;0
Ib Ingversen;m;Ingversen;Ib;1936;1936;0
Poul Janus Ipsen;m;Ipsen;Poul Janus;1936;1936;0
Ole Sylvest Jacobsen;m;Jacobsen;Ole Sylvest;1936;1936;0
Finn Hjortskov Jensen;m;Jensen;Finn Hjortskov;1936;1936;0
Chrystoph Lesniak;m;Lesniak;Chrystoph;1936;1936;0
Ole Krog Møller;m;Møller;Ole;1936;1936;0
Lisbet Olrik;k;Olrik;Lisbet;1936;1936;0
Per Jens Kristian Pedersen;m;Pedersen;Per Jens Kristian;1936;1936;0
Inge Rasmussen;k;Rasmussen;Inge;1936;1936;0
Tonning Rasmussen;m;Rasmussen;Tonning;1936;1936;0
Gunnar Saietz;m;Saietz;Gunnar;1936;1936;0
Gunnar Thulesen;m;Thulesen;Gunnar;1936 - 1979;1936;1979
Myre Vasegaard;k;Vasegaard;Myre;1936 - 2006;1936;2006
Knud Weinert;m;Weinert;Knud;1936;1936;0
Erik Brandt;m;Brandt;Erik;1937;1937;0
Lene Elsner;k;Elsner;Lene;1937;1937;0
Ole Finding;m;Finding;Ole;1937;1937;0
K. Fisker-Nielsen;;Fisker-Nielsen;K.;1937;1937;0
Hans E. Frederik Friederichsen;m;Friederichsen;Hans E. Frederik;1937;1937;0
Ulrik Friis-Møller;m;Friis-Møller;Ulrik;1937;1937;0
Erik Gram-Hanssen;m;Gram-Hanssen;Erik;1937;1937;0
Karen Hansen;k;Hansen;Karen;1937;1937;0
Ole Folmer Hansen;m;Hansen;Ole Folmer;1937;1937;0
Poul Ib Henriksen;m;Henriksen;Poul Ib;1937;1937;0
Susan Holm;k;Holm;Susan;1937;1937;0
Merete Agergaard Jensen;k;Jensen;Merete Agergaard;1937;1937;0
Poul Johannesen;m;Johannesen;Poul;1937;1937;0
Sara Kristoffersen;k;Kristoffersen;Sara;1937;1937;0
Birgit Krogh;k;Krogh;Birgit;1937;1937;0
Freddie A. Lerche;m;Lerche;Freddie A.;1937;1937;0
Sten Lykke Madsen;m;Madsen;Sten Lykke;1937;1937;0
Lizzi Mallow;k;Mallow;Lizzi;1937;1937;0
Edvard Matwijkiw;m;Matwijkiw;Edvard;1937;1937;0
Ursula Munch-Petersen;k;Munch-Petersen;Ursula;1937;1937;0
Per Neble;m;Neble;Per;1937;1937;0
Egon Bjerg Nielsen;m;Nielsen;Egon Bjerg;1937;1937;0
Vibeke Mencke Nielsen;k;Nielsen;Vibeke Mencke;1937;1937;0
Peter Nyborg;m;Nyborg;Peter;1937;1937;0
Ib S. Østergaard;m;Østergaard;Ib S.;1937;1937;0
Bernt Petersen;m;Petersen;Bernt;1937;1937;0
Gerd Hiort Petersen;k;Petersen;Gerd Hiort;1937;1937;0
Hans Meyer Petersen;m;Petersen;Hans Meyer;1937;1937;0
Bodil Schaldemose;k;Schaldemose;Bodil;1937;1937;0
Mikael Schiøtz;m;Schiøtz;Mikael;1937;1937;0
Thomas Bang;m;Bang;Thomas;1938;1938;0
Viggo Bentzon;m;Bentzon;Viggo;1938;1938;0
Birte S. Elsasdatter Branner;k;Branner;Birte S. Elsasdatter;1938;1938;0
Niels Bredsdorff;m;Bredsdorff;Niels;1938;1938;0
Hanne Christiansen;k;Christiansen;Hanne;1938;1938;0
Oda Christiansen;k;Christiansen;Oda;1938;1938;0
Allan de Waal;m;de Waal;Allan;1938;1938;0
Jørgen Gammelgaard;m;Gammelgaard;Jørgen;1938;1938;0
Arje Griegst;m;Griegst;Arje;1938;1938;0
Jan Groth;m;Groth;Jan;1938;1938;0
Lars Hillingsø;m;Hillingsø;Lars;1938;1938;0
Ulrik Hoff;m;Hoff;Ulrik;1938;1938;0
Bent Falk Jensen;m;Jensen;Bent Falk;1938;1938;0
Leif Jepsen;m;Jepsen;Leif;1938;1938;0
Jørgen Karlsen;m;Karlsen;Jørgen;1938;1938;0
Per Kirkeby;m;Kirkeby;Per;-1938;1938;0
Oda Knudsen;k;Knudsen;Oda;1938;1938;0
Tove Kurtzweil;k;Kurtzweil;Tove;1938;1938;0
Nana Nissen;k;Nissen;Nana;1938;1938;0
John Olsen;m;Olsen;John;1938;1938;0
Ehs Østergaard;k;Østergaard;Ehs;1938;1938;0
Ole Bent Petersen;m;Petersen;Ole Bent;1938 - 1998;1938;1998
Johan Henrik Piepgrass;m;Piepgrass;Johan Henrik;1938;1938;0
Jacob Anders Ring;m;Ring;Jacob Anders;1938;1938;0
Ulrich Rückreim;m;Rückreim;Ulrich;1938;1938;0
Alev Siesbye;k;Siesbye;Alev;1938;1938;0
Kirsten Sloth;k;Sloth;Kirsten;1938;1938;0
Teddy Sørensen;m;Sørensen;Teddy;1938;1938;0
Birte Stenbak;k;Stenbak;Birte;1938;1938;0
Lise Stigen;k;Stigen;Lise;1938;1938;0
